ID,Species,Binomial,Presence_of_Data,Publish_Date,Original_Data,Date_Start,Date_End,Country,Lat,Long,Sample_Size,Age_Min,Age_Max,Testicular_Volume,Testicular_Circumference,Collection_Method,Seminal_Volume,Mean_Motility,Sperm_Concentration,%_Normal_Morphology,%_Intact_Acrosome,%_Head_Abnormalities,%_Midpiece_Abnormalities,%_Tail_Abnormalities,Housing,Pairing,Reference,Comments,,,,,,,,,
97,Polar Bear,Ursus maritimus,Yes,2014-09-01,Yes,,,USA,43.20501351,-77.6238437,1,22,22,,,EEJ,,85,,89,,,,,captive,pair,https://doi.org/10.1638/2013-0055R1.1,,,,,,,,,,
98,Sumatran Giant White-toothed Shrew,Crocidura lepidura,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Sumatran Orangutan,Pongo abelii,No,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1002/zoo.1430120303,,,,,,,,,,
100,Lavasoa Dwarf Lemur,Cheirogaleus lavasoensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Makwassie White-toothed Shrew,Crocidura maquassiensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Himalayan Takin,Budorcas taxicolor,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Thalia's White-toothed Shrew,Crocidura thalia,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Four-toed Rice Tenrec,Oryzorictes tetradactylus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Juliana's Golden Mole,Neamblysomus julianae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Chestnut-bellied Titi,Plecturocebus caligatus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Burmese Short-tailed Shrew,Blarinella wardi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,White-tailed Jackrabbit,Lepus townsendii,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Goodwin's Broad-clawed Shrew,Cryptotis goodwini,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Moonshine White-toothed Shrew,Crocidura luna,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Common Brush-tailed Possum,Trichosurus vulpecula,Yes,1998-02-01,Yes,1994-08-01,,NZL,-43.35457526,172.2902122,16,,,,,multiple,,,50,,,,,,wild,alone,https://doi.org/10.1016/S0165-0378(97)00076-4,,,,,,,,,,
112,Common Brush-tailed Possum,Trichosurus vulpecula,Yes,1991-01-01,Yes,,,AUS,-32.92822542,151.7815135,5,,,,,EEJ,,55,14.3,,,,,,wild,alone,https://doi.org/10.1071/RD9910119,,,,,,,,,,
113,Southern Hairy-nosed Wombat,Lasiorhinus latifrons,Yes,2006-02-28,Yes,1993-01-01,2000-12-31,AUS,-34.54991161,139.2800215,251,,,,,EEJ,2.775,70.5,5.3,,,,,,wild,,https://doi.org/10.1071/RD07128,,,,,,,,,,
114,Tasmanian Devil,Sarcophilus harrisii,Yes,2012-07-15,Yes,2007-07-01,2009-04-30,AUS,-43.08449188,147.798333,34,1.5,4,,,EPD,,47.91666667,,63,,,,,wild,,https://doi.org/10.1016/j.theriogenology.2012.02.005,,,,,,,,,,
115,Unduavi Mouse Opossum,Cryptonanus unduaviensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Ussuri Mole,Mogera robusta,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Nyiro White-toothed Shrew,Crocidura macowi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Tammar Wallaby,Notamacropus eugenii,Yes,1996-01-01,Yes,,,AUS,-35.28103213,149.128869,4,,,,,EEJ,,38.75,,,,,,,captive,,https://doi.org/10.1071/RD9960681,,,,,,,,,,
119,Lowland Streaked Tenrec,Hemicentetes semispinosus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Guadalupe Fur Seal,Arctocephalus townsendi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Bearded Seal,Erignathus barbatus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Southern Ningaui,Ningaui yvonneae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Volcano Forest Shrew,Sylvisorex vulcanorum,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bay Cat,Catopuma badia,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Sand Cat,Felis margarita,Yes,2010-01-15,Yes,,,USA,,,11,2,13,1.7,,EEJ,0.199690476,78.2047619,208.1714286,40.64761905,92.89047619,,41.81428571,11.23333333,captive,,https://doi.org/10.1016/j.ygcen.2009.06.021,,,,,,,,,,
126,Black-footed Cat,Felis nigripes,Yes,2010-01-15,Yes,,,USA,,,8,1,11,1.8,,EEJ,0.239853846,83.84615385,139.8076923,47.09230769,90.92307692,,25.57692308,24.64615385,captive,,https://doi.org/10.1016/j.ygcen.2009.06.021,,,,,,,,,,
127,Black-footed Cat,Felis nigripes,Yes,2010-03-01,Yes,,,USA,,,3,,,,,EEJ,,85,,47.2,94.4,,,,captive,,https://doi.org/10.1095/biolreprod.109.081034,,,,,,,,,,
128,Sand Cat,Felis margarita,Yes,2010-03-01,Yes,,,USA,,,5,,,,,EEJ,,78.6,,40,94,,,,captive,,https://doi.org/10.1095/biolreprod.109.081034,,,,,,,,,,
129,Jungle Cat,Felis chaus,Yes,2017-03-15,Yes,,,IRN,35.7186258,51.29367567,5,3,8,,,UC,0.069,77.13,75.13,73.8,,,,,captive,,https://doi.org/10.1016/j.theriogenology.2016.12.034,,,,,,,,,,
130,Pallas's Cat,Otocolobus manul,Yes,1996-06-01,Yes,,,USA,38.88717425,-78.16530161,1,8,10,0.9,,EEJ,0.2,,63.4,49,,,,,captive,alone,https://www.jstor.org/stable/20095570,Influence of Seasonality on Reproductive Traits of the Male Pallas' Cat (Felis manul) and Implications for Captive Management,,,,,,,,,
131,Pallas's Cat,Otocolobus manul,Yes,2006-09-01,Yes,2000-12-14,2003-04-18,USA,39.14279823,-84.5092902,4,2,8,,,EEJ,0.071491071,,10,,94.8,,,,captive,alone,https://doi.org/10.1638/05-073.1,,,,,,,,,,
132,Pallas's Cat,Otocolobus manul,Yes,2007-04-27,Yes,2000-12-01,2001-06-30,USA,35.78521771,-78.68122534,4,2,8,2.45,,EEJ,0.099,,21.025,38.95,,,,,captive,,https://doi.org/10.1002/zoo.20127,,,,,,,,,,
133,Vicuna,Lama vicugna,No,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/0378-4320(93)90121-7,,,,,,,,,,
134,Marsh Deer,Blastocerus dichotomus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Red-bellied Tamarin,Saguinus labiatus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Indian Brown Mongoose,Urva fusca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Greater Bilby,Macrotis lagotis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Chestnut-bellied Shrew,Sorex ventralis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Yucatan Brown Brocket,Odocoileus pandora,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Vietnamese Water Shrew,Chimarrogale varennei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Amazon Weasel,Neogale africana,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Spotted-necked Otter,Hydrictis maculicollis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Demidoff's Dwarf Galago,Galagoides demidoff,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Black-fronted Duiker,Cephalophorus nigrifrons,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Groves's Titi,Plecturocebus grovesi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,True's Beaked Whale,Mesoplodon mirus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Wilkins's Rock Wallaby,Petrogale wilkinsi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Hose's Palm Civet,Diplogale hosei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,European Rabbit,Oryctolagus cuniculus,Yes,2006-03-21,Yes,2002-04-01,2003-08-31,GBR,multiple,multiple,112,,,,,EPD,,,,86.33333333,,,,,wild,,https://doi.org/10.1016/j.cub.2006.02.059,,,,,,,,,,
150,European Rabbit,Oryctolagus cuniculus,Yes,2020-06-20,Yes,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.15381/rivep.v31i2.17857,Spanish,,,,,,,,,
151,European Rabbit,Oryctolagus cuniculus,Yes,2023-04-07,Yes,,,CHN,34.43955453,117.9985897,20,0.666666667,0.666666667,,,AV,0.865,79.005,441.5,85.665,,,,,captive,male group,https://doi.org/10.7717/peerj.15112,,,,,,,,,,
152,European Rabbit,Oryctolagus cuniculus,Yes,2017-10-01,Yes,,,EGY,31.21068577,29.91305977,20,0.5,0.5,,,AV,0.43,44.31,47.755,82.6425,,,,,captive,alone,https://doi.org/10.21451/1984-3143-AR808,,,,,,,,,,
153,European Rabbit,Oryctolagus cuniculus,Yes,2012-12-01,Yes,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1590/S0102-09352012000600023,Portuguese,,,,,,,,,
154,European Rabbit,Oryctolagus cuniculus,Yes,2006-03-01,Yes,,,,,,15,,,,,AV,,73.3,103,,71.7,,,,captive,alone,https://doi.org/10.1016/j.theriogenology.2005.06.010,,,,,,,,,,
155,European Rabbit,Oryctolagus cuniculus,Yes,2019-01-19,Yes,,,COD,-2.541632719,28.85925757,24,,,,,EPD,,77.77666667,445.6666667,85.28333333,,,,,captive,alone,https://doi.org/10.1007/s11250-019-01808-2,,,,,,,,,,
156,European Rabbit,Oryctolagus cuniculus,Yes,2019-11-01,Yes,,,ESP,42.58591699,-5.825979095,550,0.402739726,2,,,AV,0.735,59.005,123.8,65.5,,,,,captive,,https://doi.org/10.1016/j.theriogenology.2019.07.014,,,,,,,,,,
157,Peleng Tarsier,Tarsius pelengensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Colombian Weasel,Neogale felipei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Cape Genet,Genetta tigrina,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Indian Chevrotain,Moschiola indica,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Sumatran Water Shrew,Chimarrogale sumatrana,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Medellin Small-eared Shrew,Cryptotis medellinius,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Pantepui Slender Opossum,Marmosops pakaraimae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Mitered Langur,Presbytis mitrata,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Pygmy Ring-tailed Possum,Pseudochirulus mayeri,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Abbott's Duiker,Cephalophus spadix,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Nigerian White-toothed Shrew,Crocidura nigeriae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Dabieshan Brown-toothed Shrew,Chodsigoa dabieshanensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Fin Whale,Balaenoptera physalus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Common Dwarf Mongoose,Helogale parvula,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Chinese Mountain Cat,Felis bieti,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,East Sumatran Banded Langur,Presbytis percura,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Southern Colocolo,Leopardus pajeros,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Black-horned Capuchin,Sapajus nigritus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Emilie's Short-tailed Opossum,Monodelphis emiliae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Montagne d'Ambre Dwarf Lemur,Cheirogaleus andysabini,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Weddell's Saddle-back Tamarin,Saguinus weddelli,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Australian Humpback Dolphin,Sousa sahulensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Urubamba Brown Titi,Plecturocebus urubambensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Northern Raccoon,Procyon lotor,Yes,2020-12-29,Yes,2017-11-01,2020-03-31,JPN,37.50092743,140.9884321,12,,,,,,,,,,7.625,,,,,,https://doi.org/10.1111/rda.13887,,,,,,,,,,
181,Omilteme Cottontail,Sylvilagus insonus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Swamp Wallaby,Wallabia bicolor,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Mandrill,Mandrillus sphinx,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Hairy-tailed White-toothed Shrew,Crocidura caudipilosa,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Hernández-Camacho's Night Monkey,Aotus jorgehernandezi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Putty-nosed Monkey,Cercopithecus nictitans,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Subantarctic Fur Seal,Arctocephalus tropicalis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Lion,Panthera leo,Yes,1991-01-01,Yes,1996-01-01,,TZA,multiple,multiple,34,1.4,9.8,67.15294118,,EEJ,4.411764706,72.5,11.18571429,49.25714286,,2.942857143,33.23571429,14.49285714,wild,family,https://doi.org/10.1530/jrf.0.0910029,,,,,,,,,,
189,Lion,Panthera leo,Yes,1998-11-10,Yes,,,IND,multiple,multiple,5,,,,,EEJ,,61.42,,,,,,,,,https://www.jstor.org/stable/24101668,Cryopreservation of semen of tigers and lions: Computerized analysis of the motility parameters of the spermatozoa,,,,,,,,,
190,Tiger,Panthera tigris,Yes,1998-11-10,Yes,,,IND,multiple,multiple,11,,,,,EEJ,,53.75,,,,,,,,,https://www.jstor.org/stable/24101668,Cryopreservation of semen of tigers and lions: Computerized analysis of the motility parameters of the spermatozoa,,,,,,,,,
191,Evaristo's Small-eared Shrew,Cryptotis evaristoi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Raffles's Banded Langur,Presbytis femoralis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Cayman Nesophontes,Nesophontes hemicingulus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Armenian White-toothed Shrew,Crocidura armenica,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Bawean Deer,Axis kuhlii,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Lesser Congo Shrew,Congosorex verheyeni,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Blue-eyed Black Lemur,Eulemur flavifrons,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Akaibe's Forest Shrew,Sylvisorex akaibei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Tucuxi,Sotalia fluviatilis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Central African Potto,Perodicticus edwardsi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Buton Macaque,Macaca brunnescens,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Howell's Forest Shrew,Sylvisorex howelli,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Harbor Porpoise,Phocoena phocoena,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Hidden Brown-toothed Shrew,Episoriculus umbrinus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Calamian Deer,Axis calamianensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Thomas's Silky Anteater,Cyclopes thomasi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Blond Capuchin,Sapajus flavius,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Brooke's Duiker,Cephalophorus brookei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Black-shanked Douc,Pygathrix nigripes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Gray-shanked Douc,Pygathrix cinerea,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Desert Bandicoot,Perameles eremiana,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Asian Small-clawed Otter,Lutra cinerea,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Black-and-rufous Sengi,Rhynchocyon petersi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Handley's Slender Opossum,Marmosops handleyi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Red Slender Loris,Loris tardigradus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Banded Hare Wallaby,Lagostrophus fasciatus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Lesula,Cercopithecus lomamiensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Eastern Red Panda,Ailurus styani,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Manchurian Pika,Ochotona mantchurica,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Perija Small-eared Shrew,Cryptotis perijensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Rio Acarí Marmoset,Mico acariensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,White-tailed Mole,Parascaptor leucurus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Papuan Planigale,Planigale novaeguineae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Dice's Cottontail,Sylvilagus dicei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Rio Juruá Collared Titi,Cheracebus regulus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Tanzanian White-toothed Shrew,Crocidura tansaniana,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Malay Weasel,Mustela nudipes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Nepalese Brown-toothed Shrew,Episoriculus soluensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Equivalent-teeth Shrew Mole,Uropsilus aequodonenia,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Ihering's Three-striped Opossum,Monodelphis iheringi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Kakadu Dunnart,Sminthopsis bindi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Short-tailed Mongoose,Urva brachyura,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Wolf's Monkey,Cercopithecus wolfi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Eastern Tree Hyrax,Dendrohyrax validus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Red-bellied Lemur,Eulemur rubriventer,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Phu Quoc White-toothed Shrew,Crocidura phuquocensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Yellow Mongoose,Cynictis penicillata,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Fawn Antechinus,Antechinus bellus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Canarian White-toothed Shrew,Crocidura canariensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Tate's Striped Possum,Dactylopsila tatei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Broad-striped Dasyure,Murexia rothschildi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Iranian Pika,Ochotona vizier,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Black Four-eyed Opossum,Philander nigratus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Grivet Monkey,Chlorocebus aethiops,Yes,2018-08-01,Yes,,,ZAF,-33.91571811,18.60449425,10,6,10,,,EEJ,0.7,57.4,72.4,,,,,,captive,breeding group,https://doi.org/10.1111/jmp.12349,,,,,,,,,,
245,Rhesus Macaque,Macaca mulatta,Yes,2018-08-01,Yes,,,ZAF,-33.91571811,18.60449425,10,8,14,,,EEJ,0.4,69.2,193.6,,,,,,captive,multiple,https://doi.org/10.1111/jmp.12349,,,,,,,,,,
246,Grivet Monkey,Chlorocebus aethiops,Yes,2022-07-25,Yes,,,ZAF,-33.91571811,18.60449425,10,6,10,,,EEJ,0.904285714,49.61428571,64.44285714,90,97,,,,both,breeding group,https://doi.org/10.1111/rda.14216,,,,,,,,,,
247,Grivet Monkey,Chlorocebus aethiops,Yes,1994-07-01,Yes,,,ZAF,-33.91571811,18.60449425,10,,,,,EEJ,,,,,61.2,,,,,,https://doi.org/10.1111/j.1600-0684.1994.tb00291.x,,,,,,,,,,
248,Grivet Monkey,Chlorocebus aethiops,Yes,1989-01-01,Yes,,,ZAF,-33.91571811,18.60449425,50,,,,,EEJ,0.655,49.52,151.075,95.25,,,,,both,,https://doi.org/10.1258/002367789780887019,,,,,,,,,,
249,Grivet Monkey,Chlorocebus aethiops,Yes,1996-12-01,Yes,,,ZAF,-33.91571811,18.60449425,14,,,,,EEJ,,,,61.04,,1.64,8,29.32,captive,alone,https://doi.org/10.1111/j.1600-0684.1996.tb00035.x,,,,,,,,,,
250,Grivet Monkey,Chlorocebus aethiops,Yes,1996-12-01,Yes,,,ZAF,-33.91571811,18.60449425,14,,,,,EEJ,,,,59.49,,1.15,10,29.36,wild,alone,https://doi.org/10.1111/j.1600-0684.1996.tb00035.x,,,,,,,,,,
251,Nile Lechwe,Kobus megaceros,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Bryde's Whale,Balaenoptera brydei,Yes,2004-01-01,Yes,2001-05-01,2001-08-31,JPN,42.87691734,143.1740628,14,,,,,EPD,,5,51.3,62.5,,,,,wild,,https://doi.org/10.1262/jrd.50.419,,,,,,,,,,
253,Greater Forest Shrew,Sylvisorex ollula,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Heather White-toothed Shrew,Crocidura erica,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Giant Solenodon,Solenodon arredondoi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Caucasian Pygmy Shrew,Sorex volnuchini,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Pygmy Three-toed Sloth,Bradypus pygmaeus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Alpine Pika,Ochotona alpina,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Snethlage's Marmoset,Mico emiliae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Cat Ba Langur,Trachypithecus poliocephalus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Sierra Shrew,Sorex madrensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
